CALL  LAT     LON      ELEV(M) BEGIN    END
ENRS                           20010927 20051231
ENJA  +70.933 -008.667 +0009.0 19310101 20171126
ENSO  +59.792 +005.341 +0048.8 19861120 20171126
ENFR  +59.980 +002.250 +0048.0 19880320 20050228
ENAS  +78.917 +011.933 +0008.0 19730101 20140523
ENSB  +78.246 +015.466 +0026.8 19750929 20171126
ENAN  +69.293 +016.144 +0013.1 19310103 20171126
ENDU  +69.056 +018.540 +0076.8 19400713 20171126
ENDR  +64.350 +007.800 +0000.0 20040510 20171126
ENTC  +69.683 +018.919 +0009.4 19730101 20171126
ENBJ  +74.517 +019.017 +0018.0 19310103 20171126
ENHK  +70.487 +022.140 +0006.4 20110928 20171126
ENSR  +69.787 +020.959 +0004.9 19750905 20171126
ENKA  +69.017 +023.067 +0307.0 19730101 20171126
ENAT  +69.976 +023.372 +0002.7 19730101 20171126
ENHF  +70.683 +023.683 +0081.0 19401008 20171126
ENNA  +70.069 +024.973 +0007.6 19730101 20171126
ENHO  +76.500 +025.067 +0010.0 19550101 20171126
ENHV  +71.017 +025.983 +0014.0 19800604 20171126
ENMH  +71.033 +027.833 +0013.0 19750905 20171126
ENBV  +70.867 +029.033 +0013.0 19750905 20171126
ENBS  +70.600 +029.693 +0149.4 20110928 20171126
ENHM  +59.567 +002.217 +0090.0 20110101 20171126
ENNE  +66.017 +008.083 +0090.0 20110101 20171126
ENQA  +60.633 +003.717 +0090.0 20110101 20171126
ENSE  +61.450 +002.133 +0090.0 20110101 20171126
ENQR  +61.533 +002.200 +0090.0 20110101 20171126
ENVD  +70.067 +029.850 +0039.0 19750905 20171126
ENRO  +62.578 +011.342 +0626.1 20050405 20171126
ENSN  +59.185 +009.567 +0141.1 20050405 20151109
ENSL  +58.367 +001.900 +0030.0 20050405 20171126
ENQC  +60.886 +003.610 +0020.0 20110512 20171126
ENKR  +69.726 +029.893 +0086.3 19401101 20171126
ENSS  +70.355 +031.045 +0012.8 20110928 20171126
ENHE  +65.333 +007.317 +0080.0 19990424 20171126
ENRS  +67.517 +012.100 +0004.0 19880303 20171126
ENBN  +65.461 +012.218 +0007.6 19730101 20171126
ENDI  +60.417 +008.513 +0798.0 19860509 20030427
ENST  +65.950 +012.467 +0017.1 19730401 20171126
